,precision,recall,f1-score,support,accuracy
happy,0.9558323895809739,0.9601820250284414,0.9580022701475596,879.0,0.898300362217888
surprise,0.8960739030023095,0.9326923076923077,0.9140164899882215,416.0,0.898300362217888
sad,0.9001814882032668,0.835016835016835,0.8663755458515284,594.0,0.898300362217888
angry,0.879837067209776,0.879837067209776,0.879837067209776,491.0,0.898300362217888
disgust,0.9245283018867925,0.8909090909090909,0.9074074074074074,55.0,0.898300362217888
fear,0.8523622047244095,0.8200757575757576,0.8359073359073359,528.0,0.898300362217888
neutral,0.8686567164179104,0.9297124600638977,0.8981481481481481,626.0,0.898300362217888
accuracy,0.898300362217888,0.898300362217888,0.898300362217888,0.898300362217888,0.898300362217888
macro avg,0.8967817244322055,0.8926322204994437,0.894242037808568,3589.0,0.898300362217888
weighted avg,0.8983913689772224,0.898300362217888,0.8978682504981429,3589.0,0.898300362217888
