,precision,recall,f1-score,support,accuracy
happy,0.9817767653758542,0.9806598407281001,0.981217985202049,879.0,0.951239899693508
surprise,0.9617224880382775,0.9663461538461539,0.9640287769784173,416.0,0.951239899693508
sad,0.9676258992805755,0.9057239057239057,0.9356521739130435,594.0,0.951239899693508
angry,0.9304174950298211,0.9531568228105907,0.9416498993963782,491.0,0.951239899693508
disgust,0.9803921568627451,0.9090909090909091,0.9433962264150944,55.0,0.951239899693508
fear,0.9157303370786517,0.9261363636363636,0.9209039548022598,528.0,0.951239899693508
neutral,0.9322033898305084,0.9664536741214057,0.9490196078431372,626.0,0.951239899693508
accuracy,0.951239899693508,0.951239899693508,0.951239899693508,0.951239899693508,0.951239899693508
macro avg,0.9528383616423477,0.9439382385653469,0.9479812320786255,3589.0,0.951239899693508
weighted avg,0.9516995304152914,0.951239899693508,0.9512021251662913,3589.0,0.951239899693508
