,precision,recall,f1-score,support,accuracy
happy,0.9429530201342282,0.9590443686006825,0.9509306260575296,879.0,0.8637503482864307
surprise,0.9523809523809523,0.8653846153846154,0.906801007556675,416.0,0.8637503482864307
sad,0.8367346938775511,0.8282828282828283,0.8324873096446701,594.0,0.8637503482864307
angry,0.7114197530864198,0.9389002036659878,0.8094820017559262,491.0,0.8637503482864307
disgust,1.0,0.6909090909090909,0.8172043010752689,55.0,0.8637503482864307
fear,0.8291666666666667,0.7537878787878788,0.7896825396825397,528.0,0.8637503482864307
neutral,0.9023090586145648,0.8115015974440895,0.8544995794785534,626.0,0.8637503482864307
accuracy,0.8637503482864307,0.8637503482864307,0.8637503482864307,0.8637503482864307,0.8637503482864307
macro avg,0.882137734965769,0.835401511867882,0.8515839093215947,3589.0,0.8637503482864307
weighted avg,0.8718359315992974,0.8637503482864307,0.8642701918373737,3589.0,0.8637503482864307
