,precision,recall,f1-score,support,accuracy
happy,0.9338565022421524,0.9476678043230944,0.9407114624505929,879.0,0.8592922819726944
surprise,0.841648590021692,0.9326923076923077,0.8848346636259977,416.0,0.8592922819726944
sad,0.8465703971119134,0.7895622895622896,0.8170731707317073,594.0,0.8592922819726944
angry,0.8235294117647058,0.8553971486761711,0.8391608391608392,491.0,0.8592922819726944
disgust,0.9259259259259259,0.9090909090909091,0.9174311926605505,55.0,0.8592922819726944
fear,0.8260869565217391,0.7556818181818182,0.7893175074183977,528.0,0.8592922819726944
neutral,0.8267716535433071,0.8386581469648562,0.8326724821570183,626.0,0.8592922819726944
accuracy,0.8592922819726944,0.8592922819726944,0.8592922819726944,0.8592922819726944,0.8592922819726944
macro avg,0.860627062447348,0.8612500606416351,0.8601716168864433,3589.0,0.8592922819726944
weighted avg,0.8589747367144993,0.8592922819726944,0.8584055069235526,3589.0,0.8592922819726944
