,precision,recall,f1-score,support,accuracy
happy,0.9316037735849056,0.8987485779294653,0.9148812970469021,879.0,0.7573140150459738
surprise,0.8233890214797136,0.8293269230769231,0.8263473053892215,416.0,0.7573140150459738
sad,0.8140495867768595,0.6632996632996633,0.7309833024118738,594.0,0.7573140150459738
angry,0.711340206185567,0.7026476578411406,0.7069672131147541,491.0,0.7573140150459738
disgust,0.23333333333333334,0.7636363636363637,0.3574468085106383,55.0,0.7573140150459738
fear,0.7161125319693095,0.5303030303030303,0.6093579978237215,528.0,0.7573140150459738
neutral,0.6675191815856778,0.8338658146964856,0.7414772727272727,626.0,0.7573140150459738
accuracy,0.7573140150459738,0.7573140150459738,0.7573140150459738,0.7573140150459738,0.7573140150459738
macro avg,0.6996210907021952,0.7459754329690103,0.6982087424320548,3589.0,0.7573140150459738
weighted avg,0.7810060751142446,0.7573140150459738,0.7620037593938208,3589.0,0.7573140150459738
